term,estimate,std.error,statistic,p.value,conf.low,conf.high,b,df,dfcom,fmi,lambda,m,riv,ubar,Target,Site.Code,Source
Rel.Month2,-2.8726395082928584,0.9776324304170619,-2.9383635596738324,0.009947093399591468,-4.951661606579375,-0.793617410006342,0.9048664879220584,15.404195985985691,13096,0.9947259177106188,0.9940829014611315,20,168.0017486494717,0.005655356685010012,Total.PRM,1080025,Discharge
Rel.Month3,-2.9175338512842965,0.9228107237428573,-3.161573415023807,0.00614055693185438,-4.876296969937557,-0.9587707326310364,0.8056613806817879,15.753399312387407,13096,0.99408839195895,0.9933826715339997,20,150.11838639082043,0.005635182138938884,Total.PRM,1080025,Discharge
Rel.Month4,-2.7302907977547703,0.9117214783919991,-2.9946544668117037,0.008656394036122285,-4.664799981218943,-0.795781614290598,0.7862903047280425,15.824257674401814,13096,0.9939452353087155,0.9932254692651299,20,146.6117002248959,0.005631234196847885,Total.PRM,1080025,Discharge
Rel.Month5,-2.724071682926798,0.8476861617073657,-3.2135379884462356,0.005338627968211537,-4.518925565078859,-0.9292178007747374,0.6790007843612313,16.240517003068877,13096,0.992990656468703,0.9921775319516076,20,126.83689160680089,0.0056210051708730545,Total.PRM,1080025,Discharge
Rel.Month6,-2.8415592788314097,0.9932272165509848,-2.8609357773126884,0.011728774500495899,-4.955187097592131,-0.7279314600706881,0.9341722370258646,15.28102365425062,13096,0.9949268446987922,0.9943036461322962,20,174.5508915395224,0.005619454820458843,Total.PRM,1080025,Discharge
Sampling.Year2022-2023,0.17004231634116984,0.5340988373200939,0.31837237690757375,0.7508466531364231,-0.8892073414454748,1.2292919741278143,0.11583745971568947,103.0770966856231,13096,0.4371934513023324,0.426378265894198,20,0.7433091191338201,0.16363223532520213,Total.PRM,1080025,Discharge
Sampling.Year2023-2024,-0.16851966011852962,0.576611584028923,-0.29225854073385493,0.7709186460054396,-1.3177205326040948,0.9806812123670355,0.1606934440324351,72.9410659662811,13096,0.5204531596490578,0.507482104009432,20,1.0303830746876057,0.16375280260228683,Total.PRM,1080025,Discharge
(Intercept),2.4530430456854617,0.5720328420758939,4.288290575735871,1.0824650881828756e-4,1.297442816661132,3.6086432747097916,0.2121839883143409,40.587732817031295,13096,0.6955068001494803,0.6808633858912343,20,2.1334543132653137,0.10442838468336663,OtherHerb.PRM,113006A,Discharge
Discharge_cumecs,-1.950273563492726e-4,4.6147394970887486e-4,-0.4226183438356757,0.6775209626360679,-0.0011637318501075795,7.736771374090342e-4,1.99109643865428e-7,18.214115398862017,13096,0.9834425124044591,0.9817190411697103,20,53.70172594793568,3.893080201209734e-9,OtherHerb.PRM,113006A,Discharge
Rel.Month2,-1.9095361288152,0.4336427196989104,-4.403477891064426,5.947348033269825e-4,-2.8392238400693524,-0.9798484175610478,0.17836804663271544,14.061814229401703,13096,0.9964342598433077,0.9959607790125945,20,246.57249061589852,7.59559383516546e-4,OtherHerb.PRM,113006A,Discharge
Rel.Month3,-2.217182268976314,0.4247660270889505,-5.219773069356162,1.1644950767679693e-4,-3.125414927222653,-1.3089496107299747,0.17105905486203563,14.475550164170507,13096,0.9960039503601648,0.995487516424383,20,220.6074547957244,8.141701637936601e-4,OtherHerb.PRM,113006A,Discharge
Rel.Month4,-2.2670839569603394,0.4544550078041142,-4.988577346555571,2.0647037063403618e-4,-3.2429824728503593,-1.2911854410703192,0.19594815614695035,13.82043157583861,13096,0.9966561888765324,0.9962049454554005,20,262.50082409830605,7.837901639396247e-4,OtherHerb.PRM,113006A,Discharge
Rel.Month5,-2.479206200797734,0.4624057354745944,-5.361538602571998,1.1159951207950945e-4,-3.473906259376064,-1.484506142219404,0.20291119751371117,13.572537969855475,13096,0.9968650577269088,0.9964348042899884,20,279.4895106296341,7.623068104038051e-4,OtherHerb.PRM,113006A,Discharge
Rel.Month6,-2.4567806715435703,0.5147345058236882,-4.772908448428539,3.9957370425302305e-4,-3.572692933034994,-1.3408684100521462,0.25162712883091104,12.568221696225274,13096,0.9975555568623263,0.9971952379948428,20,355.5364897846234,7.431262130998384e-4,OtherHerb.PRM,113006A,Discharge
Sampling.Year2022-2023,0.5479967657547348,0.5447350827044601,1.0059876500593303,0.3155875788081752,-0.5258978690000083,1.6218914005094778,0.08433790295708335,208.49723554463898,13096,0.3050635873887181,0.29842926201631287,20,0.42537301780002673,0.20818151222409753,OtherHerb.PRM,113006A,Discharge
Sampling.Year2023-2024,-0.08273273505317491,0.5263246120528289,-0.15718956164807046,0.8752015718845778,-1.1185035627419944,0.9530380926356444,0.06549597534836246,298.92840995476263,13096,0.2532338012000203,0.24825417156831844,20,0.3302368462572449,0.20824682313678028,OtherHerb.PRM,113006A,Discharge
(Intercept),8.283449043201887e-10,3.027795414736003e-10,2.735802096431978,0.007023063003425027,2.2977148588652412e-10,1.4269183227538532e-9,0,141.02698131313196,143,0.013886287012096434,0,20,0,9.167545073496365e-20,Fungicide.PRM,113006A,Discharge
Discharge_cumecs,-3.859420196440843e-14,4.950879374882144e-13,-0.0779542360902848,0.93797495056632,-1.0173475144415388e-12,9.401591105127218e-13,0,141.02698131313196,143,0.013886287012096434,0,20,0,2.451120658463341e-25,Fungicide.PRM,113006A,Discharge
Rel.Month2,-3.733710008716886e-10,2.1405640599939447e-10,-1.744264550871441,0.08329171808641117,-7.965451494719949e-10,4.980314772861771e-11,0,141.02698131313196,143,0.013886287012096434,0,20,0,4.58201449493776e-20,Fungicide.PRM,113006A,Discharge
Rel.Month3,-3.535641991969554e-10,2.2896595033896653e-10,-1.5441780695930147,0.12478621794822171,-8.062134466734653e-10,9.908504827955448e-11,0,141.02698131313196,143,0.013886287012096434,0,20,0,5.2425406414626086e-20,Fungicide.PRM,113006A,Discharge
Rel.Month4,-3.717756551853868e-10,2.2892222292201932e-10,-1.6240260575838872,0.10660328792744399,-8.24338456697569e-10,8.078714632679541e-11,0,141.02698131313196,143,0.013886287012096434,0,20,0,5.240538414755871e-20,Fungicide.PRM,113006A,Discharge
Rel.Month5,-4.0513858015981434e-10,2.7167560291337735e-10,-1.4912586033313824,0.13812704025168332,-9.422217448592561e-10,1.3194458453962742e-10,0,141.02698131313196,143,0.013886287012096434,0,20,0,7.380763321834709e-20,Fungicide.PRM,113006A,Discharge
Rel.Month6,-4.640859895042614e-10,3.5055910772729205e-10,-1.3238451926494645,0.18769630969232373,-1.1571161805605362e-9,2.2894420155201337e-10,0,141.02698131313196,143,0.013886287012096434,0,20,0,1.2289168801055515e-19,Fungicide.PRM,113006A,Discharge
Sampling.Year2022-2023,-3.0359206595394307e-10,3.708866261516222e-10,-0.818557598326103,0.4144198692101063,-1.036808301722177e-9,4.2962416981429085e-10,0,141.02698131313196,143,0.013886287012096434,0,20,0,1.3755688945813316e-19,Fungicide.PRM,113006A,Discharge
Sampling.Year2023-2024,-5.24666703957849e-10,3.79773628867619e-10,-1.3815248455303795,0.16930244608429046,-1.2754519061412306e-9,2.2611849822553254e-10,0,141.02698131313196,143,0.013886287012096434,0,20,0,1.4422800918328002e-19,Fungicide.PRM,113006A,Discharge
(Intercept),14.023488710062733,3.43197516683121,4.086127675280008,5.784267694157986e-4,6.863028430653004,21.183948989472462,10.749550098946978,19.935484361613263,13096,0.9619157942970822,0.9582775497697429,20,22.967911627462417,0.49142594185178695,Insecticide.PRM,113006A,Discharge
